Отметка времени,Ваш пол,Ваш возраст (число полных лет),Факультет обучения,Сколько времени вы уделяете общению в соцсетях с помощью телефона?,Как часто вы используете свой телефон для просмотра видео (в том числе и в соцсетях)?,Как часто вы играете в игры на телефоне?,Как часто вы снимаете фото / видео на своём телефоне?,"Используете ли вы свой телефон для того, чтобы списывать на контрольных?","Как часто вы используете свой телефон для того, чтобы читать книги/статьи?",Иные задачи,Как часто вы покупаете новый телефон?,Какой размер экрана и разрешение вы предпочитаете?,Какое разрешение камеры вы выбираете?,Важно ли вам время автономной работы?,Важна ли вам производительность?,Является ли бренд критерием при покупке?,Иные критерии
11.04.2022 10:04:53,Мужской,0,ИБМ,Менее часа в неделю,2 - 3 часа в неделю,Менее 3 часов в неделю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,"4 - 5'', 5 - 6'', 1920 х 1080, 2340 х 1080 и близкие, 2560 х 1440, 3120 х 1440 и близкие","10 - 20 Мп устроит, Более 20 Мп","Нет, всегда ношу PowerBank",Выбираю производительность выше среднего,Подойдёт любой с Ростестом,
11.04.2022 10:09:33,Мужской,19,ИБМ,2 - 3 часа в неделю,2 - 3 часа в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Почти всегда списываю с телефона,Читаю 1 - 4 часа в неделю,,Раз в 2 - 3 года,"6 - 7'', 1920 х 1080, 2340 х 1080 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 10:11:00,Женский,19,Ибм ,6 - 10 часов в неделю,Менее часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,Более 7'',10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 10:11:04,Женский,19,ИБМ,Более 10 часов в неделю,"Смотрю ночью вместо того, чтобы спать, 10+ часов в неделю",3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 2 - 3 года,"1920 х 1080, 2340 х 1080 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 10:11:32,Мужской,19,ИБМ,6 - 10 часов в неделю,Менее часа в неделю,"Практически ежедневно, я зависим от игр","Фотографирую материал на лекциях, семинарах",Иногда,Более 10 часов в неделю,,Раз в 2 - 3 года,Разрешение не принципиально,Не принципиально,"Нет, всегда ношу PowerBank",Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 10:12:59,Женский,19,ИБМ,2 - 3 часа в неделю,Менее часа в неделю,Не играю,"Жить без фотографирования и съёмок не могу, и вообще я тиктокер(ша) по жизни",Иногда,Не читаю с телефона,,Раз в 4 - 5 лет,"5 - 6'', 6 - 7''","10 - 20 Мп устроит, Более 20 Мп",Да,"Нет, у меня нет задач, где производительность была бы важна",Подойдёт любой с Ростестом,
11.04.2022 10:14:19,Женский,20,Ибм,Более 10 часов в неделю,2 - 3 часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,Работа ,Раз в 2 - 3 года,6 - 7'',Не принципиально,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 10:15:28,Мужской,19,РЛ,Более 10 часов в неделю,"Смотрю ночью вместо того, чтобы спать, 10+ часов в неделю",Не играю,"Иногда фотографирую, снимаю видео",Нет,Читаю 5 - 10 часов в неделю,,Раз в 4 - 5 лет,6 - 7'',5 - 10 Мп будет достаточно,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 10:20:58,Женский,20,ИБМ,Более 10 часов в неделю,6 - 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,6 - 7'',10 - 20 Мп устроит,Да,"Нет, у меня нет задач, где производительность была бы важна","Да, предпочитаю конкретный бренд",
11.04.2022 10:21:27,Мужской,19,Ибм ,Более 10 часов в неделю,Более 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,Более 7'',Не принципиально,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
